id:ID,name,前悬架类型,后悬架类型,助力类型,车体结构
2313,底盘转向,,,,
2314,底盘转向,,多连杆式独立悬架,电动助力,承载式
2315,底盘转向,,,,
2316,底盘转向,,非独立悬架,液压助力,承载式
2317,底盘转向,,五连杆独立悬架,电动助力,承载式
2318,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2319,底盘转向,,,,
2320,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
2321,底盘转向,,,,
2322,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2323,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2324,底盘转向,,多连杆式独立悬架,电动助力,承载式
2325,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2326,底盘转向,,多连杆式独立悬架,电动助力,承载式
2327,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
2328,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2329,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2330,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2331,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2332,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2333,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2334,底盘转向,,非独立悬架,液压助力,承载式
2335,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2336,底盘转向,,非独立悬架,液压助力,承载式
2337,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2338,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2339,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2340,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2341,底盘转向,,,,
2342,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
2343,底盘转向,,钢板弹簧,电动助力,未知
2344,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2345,底盘转向,,非独立悬架,液压助力,承载式
2346,底盘转向,,非独立悬架,液压助力,承载式
2347,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2348,底盘转向,,多连杆式独立悬架,电动助力,承载式
2349,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2350,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2351,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2352,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2353,底盘转向,,非独立悬架,液压助力,承载式
2354,底盘转向,,,,
2355,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2356,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2357,底盘转向,,非独立悬架,液压助力,承载式
2358,底盘转向,,钢板弹簧,液压助力,承载式
2359,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2360,底盘转向,,钢板弹簧,电动助力,未知
2361,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2362,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2363,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2364,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
2365,底盘转向,,非独立悬架,液压助力,承载式
